Age,Weight,Height,BMI,Goal,Recommended_Level
20,112.14509116523891,174.48461941423074,36.8354489424999,weight_loss,Beginner
20,57.08165087341657,160.88182728402265,22.053754937704742,weight_loss,Advanced
51,76.9850137837794,156.58851503438808,31.396871869697883,muscle_gain,Beginner
46,74.42793161669394,158.9939595267661,29.4425011005945,muscle_gain,Advanced
29,100.7318833510266,182.84313958845178,30.13072724258342,weight_loss,Beginner
23,79.52808778687783,176.26433613571155,25.59715161896571,flexibility,Advanced
37,63.510582731997225,187.00531525754633,18.16093467271111,muscle_gain,Beginner
54,96.53838430388748,158.8926117424473,38.237775470960706,muscle_gain,Beginner
44,51.298827418704334,154.68151013976154,21.440288819862484,flexibility,Advanced
19,72.87449385935139,153.87874654316295,30.77643214422102,weight_loss,Beginner
21,115.52669306723244,160.02604813245563,45.112924440818595,flexibility,Beginner
56,100.35097144849104,167.04493930496412,35.96291900853449,endurance,Beginner
33,68.39350609619021,191.20111232043797,18.70828765207897,muscle_gain,Beginner
61,83.82339761020893,156.13742948724362,34.38358921617431,endurance,Beginner
45,82.77681581124412,196.8450665690102,21.36287241668683,endurance,Intermediate
21,57.787307307915285,155.26631782004046,23.970547344450058,weight_loss,Advanced
61,66.13279131261174,153.1278440010046,28.20385790866289,flexibility,Beginner
22,84.13702245233205,151.7150470973059,36.55357230724524,flexibility,Beginner
36,113.08330159744379,181.1762635430485,34.45052797316972,endurance,Beginner
22,53.748137456408934,198.56497285832043,13.631954807429553,muscle_gain,Beginner
46,101.64731008529827,159.5034482673462,39.95358345710621,muscle_gain,Beginner
64,92.52598377301527,163.7652329192853,34.500095474216664,weight_loss,Beginner
50,63.584195325361485,184.21979418663963,18.735987760206395,weight_loss,Beginner
41,58.189554886289656,169.14436205074233,20.339018078916148,flexibility,Intermediate
26,72.79585459897521,169.58451732144894,25.31245389950381,flexibility,Advanced
64,101.04057382244577,188.69600860114616,28.377254575100242,weight_loss,Beginner
22,88.65018877105538,164.4679977520772,32.773049511713616,muscle_gain,Beginner
47,99.9092342502487,161.17382497897376,38.46064869034263,muscle_gain,Beginner
52,61.75293549667157,193.14693232181926,16.553200577809903,flexibility,Beginner
19,56.33421718510466,190.04590514194433,15.597508497587373,flexibility,Advanced
39,101.95066008024651,187.75586514069965,28.9203148747132,flexibility,Intermediate
22,62.05197613520683,191.8663007992202,16.856143195091988,muscle_gain,Beginner
37,98.24260047142144,173.61197982479533,32.594210823964346,endurance,Beginner
33,67.88988530674533,184.71031234744203,19.89861226117959,weight_loss,Advanced
46,119.14060608424366,151.3811884123337,51.98954114762325,muscle_gain,Beginner
22,76.04907914963323,170.18428376921514,26.25760175900106,muscle_gain,Intermediate
59,94.26370545311451,185.74183274213152,27.32279065893086,flexibility,Beginner
59,68.59267955842205,176.73891569980466,21.959042350935675,muscle_gain,Beginner
41,87.52897629236554,154.38316779888535,36.72416695730992,weight_loss,Beginner
27,119.09693590570105,192.0487521596472,32.290711084499335,flexibility,Beginner
40,92.19686077033514,170.05152823555062,31.882697264496304,endurance,Beginner
43,95.34122620968508,172.3783278529458,32.085987215181255,endurance,Beginner
23,82.9209136560591,176.0272573290878,26.76111683258232,weight_loss,Beginner
58,50.435671117376884,185.9333576580542,14.588921251482496,endurance,Beginner
47,107.04539192762311,180.10637536718792,32.999685757186604,muscle_gain,Beginner
21,88.7985719753165,162.55065045344787,33.60690809437787,endurance,Beginner
61,99.1627299099405,173.74711239122055,32.848329102168194,muscle_gain,Beginner
24,100.85140620282272,176.34242682913575,32.43159675981772,flexibility,Beginner
50,66.16840691034554,187.28540134641904,18.86439261355448,flexibility,Intermediate
45,72.12691842327477,180.06158408871323,22.24616963677551,flexibility,Beginner
52,107.02086361998951,162.32589365488985,40.615597474783826,flexibility,Beginner
61,58.55969333216332,184.98224651595308,17.11349431300386,muscle_gain,Beginner
30,73.41142630278017,194.51553255505854,19.402383699924453,weight_loss,Advanced
57,67.1602641508347,186.5396935740321,19.300558553828306,muscle_gain,Beginner
39,85.8552929628626,180.28217811793343,26.415660943181475,muscle_gain,Intermediate
37,59.60211279604692,188.3746888493253,16.79641355332796,flexibility,Advanced
41,63.39358454352952,178.08822308236364,19.98825622887094,weight_loss,Intermediate
26,79.95741882370672,152.65384365436518,34.311782334028,endurance,Beginner
18,52.022546569583255,158.7943931767769,20.631047533444896,flexibility,Advanced
62,106.00936368611087,176.78099633091466,33.92134572480911,endurance,Beginner
29,72.08633702684548,169.44493531596203,25.107054958633512,flexibility,Beginner
58,117.66022667182435,159.14577571006592,46.45574722102341,flexibility,Beginner
37,56.17502022390306,179.9240410016033,17.35261152577921,weight_loss,Beginner
51,103.03155157688595,182.59649997027043,30.90191137593093,endurance,Beginner
49,69.62621340995821,173.86807982416107,23.032074740905276,flexibility,Beginner
64,109.99475019924463,192.09578055520964,29.808238104642612,flexibility,Beginner
47,88.57514384372672,193.0139452494825,23.775764505143155,weight_loss,Intermediate
64,53.450574479820276,168.4740970449888,18.83155150955479,flexibility,Beginner
47,70.80358464465913,192.45237461655242,19.11651392517349,muscle_gain,Beginner
50,80.33320639980255,185.41251922744112,23.36775507953145,flexibility,Intermediate
35,99.71824420851804,176.80679182809797,31.898975513012257,weight_loss,Beginner
64,61.8196197524559,161.772321329599,23.622066873414,flexibility,Beginner
